"AtcoCode","TiplocCode","CrsCode","StationName","StationNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification",SV0000000000,"Latitude","Longitude"
"9100TOTTON","TOTTON","TTN","Totton Rail Station","","U",436480,113285,"2003-11-04T00:00:00","2011-11-14T14:34:28",2,"rev",SU3648013285,50.917879,-1.4824173
"9100TOWNGRN","TOWNGRN","TWN","Town Green Rail Station","","U",340160,405510,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SD4016005510,53.542805,-2.9044866
"9100TRDYRHW","TRDYRHW","TRD","Troed-y-Rhiw Rail Station","","U",307050,202380,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SO0705002380,51.712424,-3.3467440
"9100TREFRST","TREFRST","TRF","Trefforest Rail Station","","U",308300,188900,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",ST0830088900,51.591461,-3.3251177
"9100TREHAFD","TREHAFD","TRH","Trehafod Rail Station","","U",304470,191050,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",ST0447091050,51.610149,-3.3809745
"9100TREHRBT","TREHRBT","TRB","Treherbert Rail Station","","U",293860,198170,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SS9386098170,51.672241,-3.5363024
"9100TREORCY","TREORCY","TRY","Treorchy Rail Station","","U",295940,196490,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SS9594096490,51.657531,-3.5057338
"9100TRFDPK","TRFDPK","TRA","Trafford Park Rail Station","","U",379470,395385,"2003-11-04T00:00:00","2009-01-05T10:12:59",2,"rev",SJ7947095385,53.454816,-2.3106311
"9100TRFRSTE","TRFRSTE","TRE","Trefforest Estate Rail Station","","U",310670,186280,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",ST1067086280,51.568290,-3.2902481
"9100TRIMLEY","TRIMLEY","TRM","Trimley Rail Station","","U",628080,236100,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev",TM2808036100,51.976527,1.3195364
"9100TRING","TRING","TRI","Tring Rail Station","","U",495087,212241,"2005-04-21T00:00:00","2006-11-24T15:29:01",2,"rev",SP9508712241,51.800739,-0.62243938
"9100TRNO","TRNO","THC","Thurnscoe Rail Station","","U",445900,405600,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SE4590005600,53.545041,-1.3087837
